Identificador URL;Nome;Categorias;Nome da variação 1;Valor da variação 1;Nome da variação 2;Valor da variação 2;Nome da variação 3;Valor da variação 3;Preço;Preço promocional;Peso (kg);Altura (cm);Largura (cm);Comprimento (cm);Estoque;SKU;Código de barras;Exibir na loja;Frete gratis;Descrição;Tags;Título para SEO;Descrição para SEO;Marca;Produto Físico;MPN (Cód. Exclusivo Modelo Fabricante);Sexo;Faixa etária;Custo
robo-transformador-box;Robô Transformador BOX;Geek & Colecionáveis;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 6 dias;14.84;;;;;;10;MDH3D-0047;;SIM;NÃO;"<p><strong>Robô Transformador BOX</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Geek &amp; Colecionáveis</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 6 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>";MDH3D, impressão 3D, PLA Premium, produção local RJ, robo,transformador,geek;Robô Transformador BOX | Impressão 3D MDH3D;Robô Transformador BOX em impressão 3D pela MDH3D. Produto físico sob encomenda em Geek & Colecionáveis, com produção local no RJ e prazo de 3 a 6 dias.;MDH3D;SIM;MDH3D-0047;;;
miniatura-geek-com-divisorias-para-estante;Miniatura Geek com Divisórias para estante;Geek & Colecionáveis;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0048;;SIM;NÃO;"<p><strong>Miniatura Geek com Divisórias para estante</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Geek &amp; Colecionáveis</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>";MDH3D, impressão 3D, PLA Premium, produção local RJ, miniatura,geek,estante;Miniatura Geek com Divisórias para estante | Impressão 3D MDH3D;Miniatura Geek com Divisórias para estante em impressão 3D pela MDH3D. Produto físico sob encomenda em Geek & Colecionáveis, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0048;;;
item-educativo-3d-de-bancada-para-estudo-e-presente;Item Educativo 3D de Bancada para estudo e presente;Infantil e Educativo;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;0.033;5;7;11;10;MW-A1-497;;SIM;NÃO;<p><strong>Item Educativo 3D de Bancada para estudo e presente</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Infantil e Educativo</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, educativo,infantil,bancada,presente;Item Educativo 3D de Bancada para estudo e presente | Impressão 3D MDH3D;Item Educativo 3D de Bancada para estudo e presente em impressão 3D pela MDH3D. Produto físico sob encomenda em Infantil e Educativo, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MW-A1-497;;;
item-educativo-3d-modular-para-estudo-e-presente;Item Educativo 3D Modular para estudo e presente;Infantil e Educativo;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0050;;SIM;NÃO;<p><strong>Item Educativo 3D Modular para estudo e presente</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Infantil e Educativo</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, educativo,modular,infantil;Item Educativo 3D Modular para estudo e presente | Impressão 3D MDH3D;Item Educativo 3D Modular para estudo e presente em impressão 3D pela MDH3D. Produto físico sob encomenda em Infantil e Educativo, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0050;;;
quebra-cabeca-ludico-compacto-para-atividade-criativa;Quebra-Cabeça Lúdico Compacto para atividade criativa;Infantil e Educativo;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0051;;SIM;NÃO;<p><strong>Quebra-Cabeça Lúdico Compacto para atividade criativa</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Infantil e Educativo</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, quebra-cabeca,ludico,criativo;Quebra-Cabeça Lúdico Compacto para atividade criativa | Impressão 3D MDH3D;Quebra-Cabeça Lúdico Compacto para atividade criativa em impressão 3D pela MDH3D. Produto físico sob encomenda em Infantil e Educativo, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0051;;;
brinquedo-educativo-compacto-slim-para-brincadeira-guiada;Brinquedo Educativo Compacto Slim para brincadeira guiada;Infantil e Educativo;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0052;;SIM;NÃO;<p><strong>Brinquedo Educativo Compacto Slim para brincadeira guiada</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Infantil e Educativo</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, brinquedo,educativo,infantil;Brinquedo Educativo Compacto Slim para brincadeira guiada | Impressão 3D MDH3D;Brinquedo Educativo Compacto Slim para brincadeira guiada em impressão 3D pela MDH3D. Produto físico sob encomenda em Infantil e Educativo, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0052;;;
quebra-cabeca-ludico-dobravel-para-atividade-criativa;Quebra-Cabeça Lúdico Dobrável para atividade criativa;Infantil e Educativo;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;7.49;;;;;;10;MDH3D-0053;;SIM;NÃO;<p><strong>Quebra-Cabeça Lúdico Dobrável para atividade criativa</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Infantil e Educativo</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, quebra-cabeca,dobravel,infantil;Quebra-Cabeça Lúdico Dobrável para atividade criativa | Impressão 3D MDH3D;Quebra-Cabeça Lúdico Dobrável para atividade criativa em impressão 3D pela MDH3D. Produto físico sob encomenda em Infantil e Educativo, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0053;;;
brinquedo-de-mesa-slim-para-brinde-criativo;Brinquedo de Mesa Slim para brinde criativo;Infantil e Educativo;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;6.58;;;;;;10;MDH3D-0054;;SIM;NÃO;<p><strong>Brinquedo de Mesa Slim para brinde criativo</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Infantil e Educativo</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, brinquedo,mesa,brinde;Brinquedo de Mesa Slim para brinde criativo | Impressão 3D MDH3D;Brinquedo de Mesa Slim para brinde criativo em impressão 3D pela MDH3D. Produto físico sob encomenda em Infantil e Educativo, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0054;;;
brinquedo-de-mesa-para-kit-presente-para-brinde-criativo;Brinquedo de Mesa para Kit Presente para brinde criativo;Infantil e Educativo;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;6.58;;;;;;10;MDH3D-0055;;SIM;NÃO;<p><strong>Brinquedo de Mesa para Kit Presente para brinde criativo</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Infantil e Educativo</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, brinquedo,kit-presente,brinde;Brinquedo de Mesa para Kit Presente para brinde criativo | Impressão 3D MDH3D;Brinquedo de Mesa para Kit Presente para brinde criativo em impressão 3D pela MDH3D. Produto físico sob encomenda em Infantil e Educativo, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0055;;;
nome-3d-personalizado;Nome 3D Personalizado;Presentes Personalizados;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;20.35;;;;;;10;MDH3D-0056;;SIM;NÃO;<p><strong>Nome 3D Personalizado</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Presentes Personalizados</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, nome-3d,personalizado,presente;Nome 3D Personalizado | Impressão 3D MDH3D;Nome 3D Personalizado em impressão 3D pela MDH3D. Produto físico sob encomenda em Presentes Personalizados, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0056;;;
nome-3d-personalizado-modular-para-quarto-e-porta;Nome 3D Personalizado Modular para quarto e porta;Presentes Personalizados;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;6.58;;;;;;10;MDH3D-0057;;SIM;NÃO;<p><strong>Nome 3D Personalizado Modular para quarto e porta</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Presentes Personalizados</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, nome-3d,modular,quarto,porta;Nome 3D Personalizado Modular para quarto e porta | Impressão 3D MDH3D;Nome 3D Personalizado Modular para quarto e porta em impressão 3D pela MDH3D. Produto físico sob encomenda em Presentes Personalizados, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0057;;;
